uuid,name,name_plain,description,description_plain,item,owner,owner_plain,visits,votes,has_resource_pack,has_whitelist,player_count
,"{""italic"":false,""text"":""woodysquirells51's World""}","woodysquirells51's World","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","player_head","{""italic"":false,""color"":""gray"",""text"":""woodysquirells51""}","woodysquirells51",16,0,false,false,2
,"{""italic"":false,""color"":""gray"",""extra"":[{""color"":""gold"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""gold"",""extra"":[{""color"":""gray"",""text"":"" Hub""}],""text"":"" Parkour""}],""text"":""]""}],""text"":""PH""}],""text"":""[""}","[PH] Parkour Hub","{""italic"":false,""color"":""gray"",""text"":""jump!""}","jump!","dead_fire_coral","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""P""},{""color"":""#79E298"",""text"":""o""},{""color"":""#81E59F"",""text"":""l""},{""color"":""#89E8A5"",""text"":""i""},{""color"":""#91EBAC"",""text"":""s""},{""color"":""#9AEEB2"",""text"":""h""},{""color"":""#A2F0B8"",""text"":""K""},{""color"":""#AAF3BF"",""text"":""r""},{""color"":""#B2F6C5"",""text"":""o""},{""color"":""#BAF9CC"",""text"":""w""},{""color"":""#C2FCD2"",""text"":""a""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | PolishKrowa",209,55,false,false,1
,"{""italic"":false,""text"":""CHAOS BOX""}","CHAOS BOX","{""italic"":false,""color"":""gray"",""text"":""WIP""}","WIP","bedrock","{""italic"":false,""color"":""gray"",""text"":""strategist272""}","strategist272",315,18,false,false,1
,"{""italic"":false,""text"":""Ice Boat Racing [BETA]""}","Ice Boat Racing [BETA]","{""italic"":false,""color"":""gray"",""text"":""⛵ Iceboat Racing ������""}","⛵ Iceboat Racing ������","player_head","{""italic"":false,""color"":""gray"",""text"":""RedStrider""}","RedStrider",80,12,false,false,1
,"{""italic"":false,""text"":""������ Blocks 'n Props""}","������ Blocks 'n Props","{""italic"":false,""color"":""gray"",""text"":""idk if i update this game much""}","idk if i update this game much","enchanted_book","{""italic"":false,""color"":""gray"",""text"":""Pqwp""}","Pqwp",2681,230,false,false,-1
,"{""italic"":false,""extra"":[{""color"":""#102820"",""text"":""������""},{""color"":""#1F3729"",""text"":"" ""},{""color"":""#2E4632"",""text"":""K""},{""color"":""#3D553B"",""text"":""o""},{""color"":""#4C6444"",""text"":""o""},{""color"":""#6C7A5A"",""text"":""r""},{""color"":""#8B8F70"",""text"":""i""},{""color"":""#ABA586"",""text"":"" ""},{""color"":""#CABA9C"",""text"":""F""},{""color"":""#BAA485"",""text"":""a""},{""color"":""#AA8E6E"",""text"":""r""},{""color"":""#9A7857"",""text"":""m""},{""color"":""#8A6240"",""text"":""i""},{""color"":""#7B5536"",""text"":""n""},{""color"":""#6C482C"",""text"":""g""},{""color"":""#5C3A22"",""text"":"" ""},{""color"":""#4D2D18"",""text"":""������""}],""text"":""""}","������ Koori Farming ������","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""#4D2D18"",""text"":""\\""},{""color"":""#56351E"",""text"":""°""},{""color"":""#5F3D24"",""text"":""/""},{""color"":""#68452A"",""text"":"" ""},{""color"":""#714C30"",""text"":""S""},{""color"":""#7A5436"",""text"":""t""},{""color"":""#835C3C"",""text"":""a""},{""color"":""#8C6543"",""text"":""r""},{""color"":""#967251"",""text"":""t""},{""color"":""#9F7F5F"",""text"":"" ""},{""color"":""#A98C6C"",""text"":""y""},{""color"":""#B2997A"",""text"":""o""},{""color"":""#BCA688"",""text"":""u""},{""color"":""#C5B395"",""text"":""r ""},{""color"":""#BCA688"",""text"":""o""},{""color"":""#B2997A"",""text"":""w""},{""color"":""#A98C6C"",""text"":""n""},{""color"":""#9F7F5F"",""text"":"" ""},{""color"":""#967251"",""text"":""f""},{""color"":""#8C6543"",""text"":""a""},{""color"":""#835C3C"",""text"":""r""},{""color"":""#7A5436"",""text"":""m""},{""color"":""#714C30"",""text"":""!""},{""color"":""#68452A"",""text"":"" ""},{""color"":""#5F3D24"",""text"":""\\""},{""color"":""#56351E"",""text"":""°""},{""color"":""#4D2D18"",""text"":""/""}],""text"":""""}","\°/ Start your own farm! \°/","wheat","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""K""},{""color"":""#B0FF81"",""text"":""o""},{""color"":""#B7FF8C"",""text"":""o""},{""color"":""#BDFF96"",""text"":""r""},{""color"":""#C4FFA1"",""text"":""i""},{""color"":""#CAFFAB"",""text"":""K""},{""color"":""#D1FFB5"",""text"":""i""},{""color"":""#D7FFC0"",""text"":""t""},{""color"":""#DEFFCA"",""text"":""s""},{""color"":""#E4FFD4"",""text"":""u""},{""color"":""#EBFFDF"",""text"":""n""},{""color"":""#F1FFE9"",""text"":""e""},{""color"":""#F8FFF4"",""text"":""3""},{""color"":""#FEFFFE"",""text"":""8""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | KooriKitsune38",2221,166,true,true,-1
,"{""bold"":true,""italic"":false,""extra"":[{""color"":""#0000B5"",""text"":""rpg ""},{""color"":""#0055FF"",""text"":""arena""}],""text"":""""}","rpg arena","{""italic"":false,""color"":""gray"",""text"":""still in development""}","still in development","iron_sword","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""e""},{""color"":""#7FE49D"",""text"":""t""},{""color"":""#8CE9A7"",""text"":""i""},{""color"":""#9AEEB2"",""text"":""d""},{""color"":""#A7F2BD"",""text"":""h""},{""color"":""#B5F7C7"",""text"":""a""},{""color"":""#C2FCD2"",""text"":""r""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | etidhar",2130,162,true,false,-1
,"{""bold"":true,""italic"":false,""color"":""green"",""extra"":[{""color"":""dark_green"",""text"":""FFA""}],""text"":""Knockback ""}","Knockback FFA","{""italic"":false,""color"":""yellow"",""text"":""Punch other Players""}","Punch other Players","debug_stick","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""N""},{""color"":""#78E298"",""text"":""e""},{""color"":""#80E49E"",""text"":""t""},{""color"":""#87E7A3"",""text"":""h""},{""color"":""#8EEAA9"",""text"":""e""},{""color"":""#96ECAF"",""text"":""r""},{""color"":""#9DEFB5"",""text"":""A""},{""color"":""#A5F1BB"",""text"":""u""},{""color"":""#ACF4C1"",""text"":""g""},{""color"":""#B3F7C6"",""text"":""e""},{""color"":""#BBF9CC"",""text"":""H""},{""color"":""#C2FCD2"",""text"":""D""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | NetherAugeHD",1505,155,true,false,-1
,"{""italic"":false,""color"":""red"",""text"":""������ Penguin's Strategy™ ������""}","������ Penguin's Strategy™ ������","{""italic"":false,""color"":""light_purple"",""text"":""Join our Discord!""}","Join our Discord!","red_banner","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""A""},{""color"":""#78E197"",""text"":""g""},{""color"":""#7FE49D"",""text"":""e""},{""color"":""#85E6A2"",""text"":""n""},{""color"":""#8CE9A7"",""text"":""t""},{""color"":""#93EBAD"",""text"":""P""},{""color"":""#9AEEB2"",""text"":""e""},{""color"":""#A0F0B7"",""text"":""n""},{""color"":""#A7F2BD"",""text"":""g""},{""color"":""#AEF5C2"",""text"":""u""},{""color"":""#B5F7C7"",""text"":""i""},{""color"":""#BBFACD"",""text"":""n""},{""color"":""#C2FCD2"",""text"":""C""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | AgentPenguinC",4622,118,true,false,-1
,"{""italic"":false,""text"":""- [ Robi's Games ] -""}","- [ Robi's Games ] -","{""italic"":false,""color"":""gray"",""text"":""Join if you want to be a block""}","Join if you want to be a block","enchanted_golden_apple","{""italic"":false,""color"":""gray"",""text"":""okosRobi""}","okosRobi",1555,111,false,false,-1
,"{""italic"":false,""extra"":[{""color"":""#FF0044"",""text"":""S""},{""color"":""#FF004E"",""text"":""p""},{""color"":""#FF0057"",""text"":""l""},{""color"":""#FF0061"",""text"":""a""},{""color"":""#FF006B"",""text"":""t""},{""color"":""#FF0075"",""text"":""o""},{""color"":""#FF007E"",""text"":""o""},{""color"":""#FF0088"",""text"":""n""},{""text"":"" ""},{""color"":""#00FFAA"",""extra"":[{""bold"":true,""underlined"":true,""text"":""X""}],""text"":""Gen ""},{""text"":"" ""},{""color"":""#8EFF47"",""text"":""v0.6.4""}],""text"":""""}","Splatoon Gen X v0.6.4","{""italic"":false,""color"":""gray"",""text"":""NOT the nintendo one!!!""}","NOT the nintendo one!!!","lime_dye","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""D""},{""color"":""#7AE299"",""text"":""e""},{""color"":""#83E5A0"",""text"":""x""},{""color"":""#8CE9A7"",""text"":""F""},{""color"":""#95ECAE"",""text"":""l""},{""color"":""#9EEFB6"",""text"":""e""},{""color"":""#A7F2BD"",""text"":""x""},{""color"":""#B0F6C4"",""text"":""_""},{""color"":""#B9F9CB"",""text"":""Y""},{""color"":""#C2FCD2"",""text"":""T""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | DexFlex_YT",1332,107,true,true,-1
,"{""italic"":false,""color"":""green"",""extra"":[{""color"":""aqua"",""extra"":[{""color"":""yellow"",""extra"":[{""color"":""light_purple"",""extra"":[{""color"":""red"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""blue"",""text"":""s""}],""text"":""n""}],""text"":""i""}],""text"":""a""}],""text"":""m""}],""text"":""o""}],""text"":""D""}","Domains","{""italic"":false,""color"":""gray"",""text"":""Capture & Expand Territory""}","Capture & Expand Territory","grass_block","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""I""},{""color"":""#7388FF"",""text"":""_""},{""color"":""#6F99FF"",""text"":""A""},{""color"":""#6AAAFF"",""text"":""M""},{""color"":""#66BBFF"",""text"":""_""},{""color"":""#62CCFF"",""text"":""D""},{""color"":""#5EDDFF"",""text"":""I""},{""color"":""#59EEFF"",""text"":""R""},{""color"":""aqua"",""text"":""T""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | I_AM_DIRT",1812,102,true,false,-1
,"{""italic"":false,""text"":""TOTAL POINT SHIFT v0.2""}","TOTAL POINT SHIFT v0.2","{""italic"":false,""color"":""gray"",""text"":""Incremental upgrader (v0.2)""}","Incremental upgrader (v0.2)","nautilus_shell","{""italic"":false,""color"":""gray"",""text"":""hollikill""}","hollikill",784,96,false,false,-1
,"{""bold"":true,""italic"":false,""extra"":[{""color"":""#00FFA4"",""text"":""I""},{""color"":""#00FF4B"",""text"":""n""},{""color"":""#0EFF00"",""text"":""t""},{""color"":""#68FF00"",""text"":""e""},{""color"":""#C3FF00"",""text"":""r""},{""color"":""#FFE100"",""text"":""e""},{""color"":""#FF8700"",""text"":""s""},{""color"":""#FF2D00"",""text"":""t""},{""color"":""#FF002D"",""text"":""i""},{""color"":""#FF0086"",""text"":""n""},{""color"":""#FF00E0"",""text"":""g""},{""color"":""#C300FF"",""text"":"" ""},{""color"":""#6800FF"",""text"":""I""},{""color"":""#0F00FF"",""text"":""t""},{""color"":""#004BFF"",""text"":""e""},{""color"":""#00A5FF"",""text"":""m""},{""color"":""#00FFFF"",""text"":""s""},{""text"":""!""}],""text"":""""}","Interesting Items!","{""bold"":true,""italic"":false,""color"":""#2BFFC3"",""text"":""RESET COMPLETE: new map here!""}","RESET COMPLETE: new map here!","silence_armor_trim_smithing_template","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""R""},{""color"":""#7DE39B"",""text"":""e""},{""color"":""#88E7A4"",""text"":""d""},{""color"":""#94EBAD"",""text"":""S""},{""color"":""#9FF0B7"",""text"":""y""},{""color"":""#ABF4C0"",""text"":""v""},{""color"":""#B6F8C9"",""text"":""e""},{""color"":""#C2FCD2"",""text"":""n""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | RedSyven",2267,96,true,false,-1
